brand_id,colour
95,Pink
95,Purple
95,Pink
95,Lavender
95,Orange
95,Burgundy
95,Fluorescent Green
95,Grey
95,Red
95,Fuchsia
95,Brown
95,Green
95,Turquoise Blue
95,White
95,White
96,Maroon
97,Blue
97,Green
97,Green
97,Red
97,Pink
97,Orange
97,White
97,Pink
97,Red
97,Cream
98,Black
98,Grey
98,Green
98,Grey
98,Peach
98,Green
98,Black
99,Off White
99,Black
99,Navy Blue
99,Blue
99,Yellow
100,Blue
100,Black
100,Gold
100,Gold
100,White
100,Gold
100,Black
100,Teal
100,Lime Green
100,Green
100,Orange
100,Coral
100,Navy Blue
100,Navy Blue
100,White
100,Black
100,Blue
100,Cream
100,Pink
100,Grey
100,Black
100,Blue
100,Black
100,Yellow
100,White
100,Maroon
100,Coral
100,Green
100,Pink
100,White
100,Orange
101,Grey
102,Pink
102,Blue
103,Green
103,Turquoise Blue
103,Red
104,Sea Green
104,Blue
104,Teal
104,White
104,Fuchsia
104,Beige
104,Yellow
104,Navy Blue
104,Charcoal
104,Black
104,Turquoise Blue
104,Blue
104,Grey
104,Cream
104,Grey
104,Blue
105,Cream
105,Black
105,Olive
105,Brown
105,Red
105,Black
105,Red
105,Brown
106,Multi
106,Navy Blue
106,Peach
106,White
106,Olive
107,Teal
107,Brown
107,Orange
107,Brown
107,Orange
107,Pink
107,Charcoal
108,Yellow
108,Orange
109,Multi
110,Green
111,Green
111,Red
111,Blue
111,Magenta
111,Yellow
111,Maroon
111,Black
111,Red
111,Grey
111,Yellow
112,Mustard
112,Pink
112,Red
112,Red
112,Black
113,Black
114,Mustard
114,Brown
114,Blue
114,Blue
114,Blue
115,Yellow
115,Green
116,Black
116,Green
117,Red
117,Green
117,Blue
117,Red
117,Purple
117,Beige
117,Beige
117,Red
117,Green
118,Black
118,Black
118,Black
119,White
119,Coral
119,Navy Blue
119,Rust
119,Black
119,Taupe
119,Navy Blue
119,Green
119,Navy Blue
119,Yellow
119,Navy Blue
119,Blue
119,Blue
119,Blue
119,Charcoal
119,White
119,Magenta
119,Red
120,Blue
120,Orange
120,Fluorescent Green
120,Orange
120,Red
121,Blue
122,Maroon
122,Green
122,Black
122,Purple
122,Blue
122,Orange
122,Red
122,Purple
122,Red
122,Red
122,Lavender
122,Pink
122,Sea Green
122,Purple
122,Pink
122,Fuchsia
122,Yellow
122,Green
122,Green
122,Navy Blue
122,Green
122,Beige
122,Navy Blue
122,Pink
122,Beige
122,Navy Blue
122,Off White
122,Burgundy
122,Navy Blue
122,Red
122,Purple
122,Teal
122,Pink
122,Brown
122,Sea Green
122,Orange
122,Yellow
122,Black
122,Black
122,Maroon
122,Purple
122,Navy Blue
122,Pink
122,Yellow
122,White
122,White
122,Olive
122,Teal
122,Navy Blue
122,Blue
122,Beige
122,Mustard
122,Charcoal
122,Purple
122,Grey
122,Red
122,Navy Blue
122,Green
122,Pink
122,Navy Blue
122,Navy Blue
122,Mustard
122,Off White
122,Blue
122,Burgundy
122,Maroon
122,Blue
122,Orange
122,Pink
122,Brown
122,Purple
122,Nude
122,Red
122,Maroon
122,Blue
122,Orange
122,Black
122,Blue
122,Black
122,Green
122,Green
122,Navy Blue
123,Blue
123,Olive
123,Blue
123,White
123,Maroon
123,Blue
123,Grey
123,Black
123,Blue
123,Blue
123,Blue
123,Black
123,Blue
123,Blue
123,Black
123,Blue
124,Multi
124,Yellow
124,Red
125,Green
125,Sea Green
125,Pink
125,Blue
125,Yellow
125,Sea Green
125,Red
125,Blue
125,White
125,Black
125,White
125,Black
125,Red
125,Blue
125,Blue
125,Black
125,Black
125,Peach
125,Purple
125,Black
125,Pink
125,White
125,Green
125,Yellow
125,Pink
125,Red
125,Black
125,Yellow
